* `displayName` (`id`): `description` (`name`, `displayQuality`, `quality`, `priceEach`, `maxStackCount`)
* 怀表 (83): 银色的怀表。 (Watch, 0, 4, 4718, 1)
* 鸭蛋 (84): 没人要的蛋。 (Egg, 0, 1, 87, 4)
* 铝热剂 (85): 非常不易燃。 (Heat, 0, 3, 559, 1)
* 丙烷 (86): 装满丙烷的罐子。 (Propane, 0, 3, 1006, 1)
* 绳子 (87): 攀登用的绳子。 (Rope, 0, 2, 200, 1)
* 一堆药 (88): 不能吃，里面什么都有。 (Drugs, 0, 1, 127, 5)
* 输液药品 (89): 一些静脉注射用的药品。 (Lv, 0, 2, 192, 1)
* 扫帚 (90): 普通的扫帚。 (Broom, 0, 99, 258, 1)
* 平头螺丝刀 (91): 平头螺丝刀。 (Driver, 0, 2, 237, 1)
* 电锯 (92): 小巧的电锯。 (ElectricSaw, 0, 9, 375, 1)
* 金属桶 (93): 盛装汽油的金属桶。 (GasCanL, 0, 5, 3060, 1)
* 塑料桶 (94): 盛装汽油的塑料桶。 (GasCanS, 0, 4, 1799, 1)
* 大锤子 (95): 装修利器。 (HammerL, 0, 4, 2313, 1)
* 锤子 (96): 砸钉子好用。 (HammerS, 0, 2, 459, 1)
* 煤油灯 (97): 没油了。 (Lantern, 0, 4, 566, 1)
* 铲子 (98): 曾经有一位骑士用它打遍天下无敌手。但不算是一个好的武器。 (Shovel, 0, 3, 459, 1)
* 望远镜 (99): 坏掉的望远镜，但镜片还是好的。 (Telescope, 0, 4, 689, 1)
* 捕兽陷阱 (100): 算是一块好废铁。 (Trap, 0, 3, 205, 1)
* 撬棍 (101): 挥舞起来可以穿透几乎所有的护甲，在物理学上非常合理。 (Wrench03, 0, 3, 282, 1)
* 配件模板 (102): 可增加精确度。 (1_AccessoryTemplate, 0, 9, 17000, 1)
* 奶牛面具 (103): 外表十分凶狠的奶牛头面具。 (CowMask, 0, 2, 327, 1)
* 牛仔帽 (104): 牛仔帽。 (Hat, 0, 2, 167, 1)
* 可可奶 (105): 带有巧克力味道的牛奶。 (CocoMilk, 0, 1, 124, 1)
* 苏打水 (106): 清爽的苏打水。 (Soda, 0, 1, 102, 1)
* 水壶 (107): 行军水壶，吨吨吨。 (Waterbottle, 0, 4, 869, 1)
* 威士忌 (108): 上流，但是脱水。 (Whisky, 0, 5, 3431, 1)
* 钢笔 (109): 没有墨水的钢笔。 (Pen, 0, 3, 1368, 1)
* 剪刀 (110): 手工剪刀。 (Scissors, 0, 1, 128, 1)
* 奖杯 (111): 金色的奖杯，有点掉漆。 (Trophy, 0, 4, 2837, 1)
* 麦克风 (112): 卡拉OK麦克风，唱歌让人快乐。 (Mike, 0, 2, 355, 1)
* 收音机 (113): 看起来像玩具，但确实也是个收音机。 (Radio, 0, 2, 482, 1)
* TOMSUNG手机 (114): TOMSUNG手机，看起来很久了。 (TOMSUNGPhone, 0, 3, 1063, 1)
* 酸奶 (115): 疯味酸奶。 (Yogurt, 0, 3, 324, 3)
* 报纸 (116): 一份报纸，有年头了。 (Newspaper, 0, 2, 347, 1)
* 笔记 (117): 上面记着各种让人看不懂的公式。 (Note, 0, 2, 761, 1)
* 口红 (118): 看起来很贵的口红，不知道是什么色号。 (Lipstick, 0, 5, 6587, 1)
* 金戒指 (119): 上面镶嵌着黄色的宝石。有点旧，但感觉价值不菲。 (Ring, 0, 4, 3760, 1)
* 花花戒指 (120): 看起来像玩具，但是沉甸甸的。 (RingToy, 0, 1, 1678, 1)
* 智能机器人 (121): 没电了。 (Robot, 0, 5, 5783, 1)
* 玩具火箭 (122): 造型非常没有创意。 (Rocket, 0, 1, 875, 1)
* 头骨饰品 (123): 不知道是什么生物的头骨。 (Skull, 0, 9, 675, 1)
* 手鼓 (124): 声音依然非常好听。 (Tambourine, 0, 1, 1265, 1)
* 小号 (125): 吹起来应该没问题。 (Trumpet, 0, 4, 4015, 1)
* 木琴 (126): 看起来音调不是很全。 (Xylophone, 0, 1, 984, 1)
* 轮胎 (127): 打打气就能用。 (Wheel, 0, 3, 484, 1)
* 线 (128): 缝制衣服用的线。 (Yarn, 0, 2, 270, 1)
* 南瓜 (129): 真的就是个南瓜。 (Pumpkin, 0, 3, 420, 1)
* 购物框 (130): 装不了多少东西。 (Basket, 0, 2, 176, 1)
* 杯子 (131): 喝水用的杯子。 (Cup, 0, 1, 177, 1)
* 蛋糕 (132): 不知道放了多久，但是看起来依然很好吃。 (Cake, 0, 3, 406, 3)
* 胡萝卜 (133): 富含营养，看起来很新鲜。 (Carrot, 0, 1, 120, 3)
* 骨头玩具 (134): 不知道给谁玩的。 (Bone, 0, 1, 780, 1)
* 心 (135): 心形的饰物。 (Heart, 0, 4, 2552, 1)
* 注射器 (136): 没用过的注射器。 (Injection, 0, 2, 295, 3)
* 黄针 (137): 提升25%移动速度，持续120s。 (Injection_A, 0, 3, 629, 3)
* 头灯 (138): 让你看的更远。 (HeadLantern, 0, 3, 238, 1)
* 子弹模板 (139): 子弹。 (Bullet_Template, 0, 9, 60, 60)
* L-普通弹 (140): 制式大口径子弹。 (Bullet_AR_L_Normal, 0, 999, 4, 180)
* L-燃烧弹 (141): 装填可持续燃烧的弹药，造成灼烧。有概率点燃。 (Bullet_AR_L_Burn, 0, 999, 18, 180)
* L-穿甲弹 (142): 能够穿透一定的防护。 (Bullet_AR_L_Piercing3, 0, 999, 10, 180)
* S-普通弹 (143): 制式小口径子弹。 (Bullet_AR_S_Normal, 0, 999, 3, 240)
* S-达姆弹 (144): 对肉体造成更高的伤害，但更难以穿透护甲。 (Bullet_AR_S_Dumdums, 0, 999, 10, 240)
* S-燃烧弹 (145): 装填可持续燃烧的弹药，造成灼烧。有概率点燃。 (Bullet_AR_S_Burn, 0, 999, 15, 240)
* 霰弹-鹿弹 (146): 打猎用的鹿弹，杀伤距离较近。 (Bullet_SHOT_Normal, 0, 999, 11, 80)
* 探索者的信 (153): 先行来到Duckov的探索者的信件。 (Quest_Letter_Explorer, 0, 2, 1, 1)
* 宿舍楼103钥匙 (154): 一把宿舍楼的钥匙。也许可以打开103的门。 (Key_Dormitory103, 0, 1, 350, 1)
* 宿舍楼106钥匙 (155): 一把宿舍楼的钥匙。也许可以打开106的门。 (Key_Dormitory106, 0, 2, 578, 1)
* L-涂毒弹 (157): 子弹表面涂抹毒药。 (Bullet_AR_L_Poison, 0, 999, 15, 180)
* L-高级穿甲弹 (158): 能够穿透大多数防护。 (Bullet_AR_L_Piercing5, 0, 999, 35, 180)
* S-穿甲弹 (159): 能够穿透较低等级的护甲。 (Bullet_AR_S_Piercing2, 0, 999, 8, 240)
* S-高级穿甲弹 (160): 能够穿透更高等级的护甲。 (Bullet_AR_S_Piercing4, 0, 999, 18, 240)
* 霰弹-食人鱼 (161): 穿甲能力弱，但对肉体造成更大伤害。 (Bullet_SHOT_Piranha, 0, 999, 30, 80)
* 霰弹-龙息 (162): 造成大量灼烧伤害。 (Bullet_SHOT_Burn, 0, 999, 50, 80)
* 霰弹-箭形弹 (163): 有更高的穿甲等级。 (Bullet_SHOT_Piercing4, 0, 999, 55, 80)
* 霰弹-电击 (164): 电能装药，能够造成电击伤害。 (Bullet_SHOT_Electric, 0, 999, 60, 80)
* 狙击-普通弹 (165): 普通的狙击弹药。 (Bullet_Sniper_Normal, 0, 999, 40, 30)
* 狙击-穿甲弹 (166): 能够穿透较低等级的护甲。 (Bullet_Sniper_Piercing3, 0, 999, 80, 30)
* 狙击-电击弹 (167): 电能装药，能够造成电击伤害。 (Bullet_Sniper_Electric, 0, 999, 180, 30)
* 狙击-空间弹 (168): 具有空间属性的狙击弹药。 (Bullet_Sniper_Space, 0, 999, 600, 30)
* 狙击-高级穿甲弹 (169): 能够穿透大多数护甲。 (Bullet_Sniper_Piercing5, 0, 999, 250, 30)
* 突击握把 Lv1 (174): 增强稳定性。 (Grip_AS_Lv_1, 0, 999, 380, 1)
* 突击握把 Lv2 (175): 增强稳定性。 (Grip_AS_Lv_2, 3, 999, 900, 1)
* 突击握把 Lv3 (176): 增强稳定性。 (Grip_AS_Lv_3, 4, 999, 2100, 1)
* 快拆握把 Lv1 (177): 增强稳定性。 (Grip_SP_Lv_1, 0, 999, 380, 1)
* 快拆握把 Lv2 (178): 增强稳定性。 (Grip_SP_Lv_2, 3, 999, 900, 1)
* 快拆握把 Lv3 (179): 增强稳定性。 (Grip_SP_Lv_3, 4, 999, 2100, 1)
* 垂直握把 Lv1 (180): 增强稳定性。 (Grip_Verticle_Lv_1, 0, 999, 380, 1)
* 垂直握把 Lv2 (181): 增强稳定性。 (Grip_Verticle_Lv_2, 3, 999, 900, 1)
* 垂直握把 Lv3 (182): 增强稳定性。 (Grip_Verticle_Lv_3, 4, 999, 2100, 1)
* 大口径制退器 Lv.1 (183): 可增加精确度。 (Muzzle_L_Type_1, 0, 999, 380, 1)
* 大口径制退器 Lv.2 (184): 可增加精确度。 (Muzzle_L_Type_2, 3, 999, 900, 1)
* 大口径制退器 Lv.3 (185): 可增加精确度。 (Muzzle_L_Type_3, 4, 999, 2100, 1)
* 霰弹枪集束器 Lv.1 (186): 可增加精确度。 (Muzzle_Shot_Type_1, 0, 999, 380, 1)
* 霰弹枪集束器 Lv.2 (187): 可增加精确度。 (Muzzle_Shot_Type_2, 3, 999, 900, 1)
* 霰弹枪集束器 Lv.3 (188): 可增加精确度。 (Muzzle_Shot_Type_3, 4, 999, 2100, 1)
* 狙击枪消音器 Lv.1 (189): 可增加精确度。 (Muzzle_Sniper_Type_1, 0, 999, 380, 1)
* 狙击枪消音器 Lv.2 (190): 可增加精确度。 (Muzzle_Sniper_Type_2, 3, 999, 900, 1)
* 狙击枪消音器 Lv.3 (191): 可增加精确度。 (Muzzle_Sniper_Type_3, 4, 999, 2100, 1)
* 小口径制退器 Lv.1 (192): 可增加精确度。 (Muzzle_S_Type_1, 0, 999, 380, 1)
* 小口径制退器 Lv.2 (193): 可增加精确度。 (Muzzle_S_Type_2, 3, 999, 900, 1)
* 小口径制退器 Lv.3 (194): 可增加精确度。 (Muzzle_S_Type_3, 4, 999, 2100, 1)
* 4倍镜 Lv1 (195): 可增加精确度。 (Scope_4X_Lv_1, 0, 999, 380, 1)
* 4倍镜 Lv2 (196): 可增加精确度。 (Scope_4X_Lv_2, 3, 999, 900, 1)
* 4倍镜 Lv3 (197): 可增加精确度。 (Scope_4X_Lv_3, 4, 999, 2100, 1)
* 8倍镜 Lv1 (198): 可增加精确度。 (Scope_8X_Lv_1, 0, 999, 380, 1)
* 8倍镜 Lv2 (199): 可增加精确度。 (Scope_8X_Lv_2, 3, 999, 900, 1)
* 8倍镜 Lv3 (200): 可增加精确度。 (Scope_8X_Lv_3, 4, 999, 2100, 1)
* 数字瞄具 Lv1 (201): 可增加精确度。 (Scope_Digit_Lv_1, 0, 999, 380, 1)
* 数字瞄具 Lv2 (202): 可增加精确度。 (Scope_Digit_Lv_2, 3, 999, 900, 1)
* 数字瞄具 Lv3 (203): 可增加精确度。 (Scope_Digit_Lv_3, 4, 999, 2100, 1)
* 全息瞄具 Lv1 (204): 可增加精确度。 (Scope_Holo_Lv_1, 0, 999, 380, 1)
* 全息瞄具 Lv2 (205): 可增加精确度。 (Scope_Holo_Lv_2, 3, 999, 900, 1)
* 全息瞄具 Lv3 (206): 可增加精确度。 (Scope_Holo_Lv_3, 4, 999, 2100, 1)
* 快速瞄具 Lv1 (207): 可增加精确度。 (Scope_Long_Lv_1, 0, 999, 380, 1)
* 快速瞄具 Lv2 (208): 可增加精确度。 (Scope_Long_Lv_2, 3, 999, 900, 1)
* 快速瞄具 Lv3 (209): 可增加精确度。 (Scope_Long_Lv_3, 4, 999, 2100, 1)
* 红点瞄具 Lv1 (210): 可增加精确度。 (Scope_RedDot_Lv_1, 0, 999, 380, 1)
* 红点瞄具 Lv2 (211): 可增加精确度。 (Scope_RedDot_Lv_2, 3, 999, 900, 1)
* 红点瞄具 Lv3 (212): 可增加精确度。 (Scope_RedDot_Lv_3, 4, 999, 2100, 1)
* 步枪枪托 Lv1 (213): 增强稳定性。 (Stock_Rifle_Lv_1, 0, 999, 380, 1)
* 步枪枪托 Lv2 (214): 增强稳定性。 (Stock_Rifle_Lv_2, 3, 999, 900, 1)
* 步枪枪托 Lv3 (215): 增强稳定性。 (Stock_Rifle_Lv_3, 4, 999, 2100, 1)
* 霰弹枪托 Lv1 (216): 增强稳定性。 (Stock_Shot_Lv_1, 0, 999, 380, 1)
* 霰弹枪托 Lv2 (217): 增强稳定性。 (Stock_Shot_Lv_2, 3, 999, 900, 1)
* 霰弹枪托 Lv3 (218): 增强稳定性。 (Stock_Shot_Lv_3, 4, 999, 2100, 1)
* 冲锋枪枪托 Lv1 (219): 增强稳定性。 (Stock_SMG_Lv_1, 0, 999, 380, 1)
* 冲锋枪枪托 Lv2 (220): 增强稳定性。 (Stock_SMG_Lv_2, 3, 999, 900, 1)
* 冲锋枪枪托 Lv3 (221): 增强稳定性。 (Stock_SMG_Lv_3, 4, 999, 2100, 1)
* 狙击枪枪托 Lv1 (222): 增强稳定性。 (Stock_Sniper_Lv_1, 0, 999, 380, 1)
* 狙击枪枪托 Lv2 (223): 增强稳定性。 (Stock_Sniper_Lv_2, 3, 999, 900, 1)
* 狙击枪枪托 Lv3 (224): 增强稳定性。 (Stock_Sniper_Lv_3, 4, 999, 2100, 1)
* 战术激光 Lv1 (225): 更加精准的射击。 (Tec_Lazer_Lv_1, 0, 999, 380, 1)
* 战术激光 Lv2 (226): 更加精准的射击。 (Tec_Lazer_Lv_2, 3, 999, 900, 1)
* 战术激光 Lv3 (227): 更加精准的射击。 (Tec_Lazer_Lv_3, 4, 999, 2100, 1)
* 战术手电 Lv1 (228): 照射对方头部，使其变得脆弱。 (Tec_Light_Lv_1, 0, 999, 380, 1)
* 战术手电 Lv2 (229): 照射对方头部，使其变得脆弱。 (Tec_Light_Lv_2, 3, 999, 900, 1)
* 战术手电 Lv3 (230): 照射对方头部，使其变得脆弱。 (Tec_Light_Lv_3, 4, 999, 2100, 1)
* 大口径扩容弹匣 Lv1 (231): 增加弹药数量。 (Magazine_Rifle_Lv_1, 0, 999, 380, 1)
* 大口径扩容弹匣 Lv2 (232): 增加弹药数量。 (Magazine_Rifle_Lv_2, 3, 999, 900, 1)
* 大口径扩容弹匣 Lv3 (233): 增加弹药数量。 (Magazine_Rifle_Lv_3, 4, 999, 2100, 1)
* 小口径扩容弹匣 Lv1 (234): 增加弹药数量。 (Magazine_SMG_Lv_1, 0, 999, 380, 1)
* 小口径扩容弹匣 Lv2 (235): 增加弹药数量。 (Magazine_SMG_Lv_2, 3, 999, 900, 1)
* 小口径扩容弹匣 Lv3 (236): 增加弹药数量。 (Magazine_SMG_Lv_3, 4, 999, 2100, 1)
* AK-103 (238): AK-47的现代化版本，继承了其可靠性的同时，在各方面也有进一步的提升。 (L_AK102_Lv_2, 0, 4, 6049, 1)
* AK-47 (240): 经典的制式步枪，威力较大，结构简单，维护方便，但后座力较大，精度一般。 (L_AK47_Lv_2, 0, 3, 3550, 1)
* MF (242): 装备非常广泛的制式武器，精度高，后坐力小的同时能支持大部分配件的安装。 (L_MF_Lv_2, 0, 3, 3956, 1)
* RPK (244): 基于AK-47设计的轻型机枪，载弹量巨大，通常用于火力支援。 (L_RPK_Lv_2, 0, 5, 12181, 1)
* VPO-101 (246): 射击精度高且有不俗的爆头伤害，虽然口径看上去是步枪，但在鸭科夫被当作狙击枪使用。 (Sniper_VPO, 0, 3, 5086, 1)
* 土制猎枪 (248): 小作坊里手搓的霰弹枪，各方面的性能表现都非常一般。 (Shot_Hand_Lv_2, 0, 1, 264, 1)
* MP-155 (250): 泵动式霰弹枪，虽然需要手动装填，但载弹量在霰弹枪中相当不错。 (Shot_MP155_Lv_2, 0, 2, 1703, 1)
* AK-74U (252): 基于AK-47进行了短管设计，因为威力下降，被鸭鸭们降格为了冲锋枪。 (S_AK74_Lv_2, 0, 2, 1510, 1)
* 格力克 (254): 重量轻，可靠性高，弹容量大，深受各路鸭鸭的喜欢。 (S_GLick_Lv_2, 0, 2, 1030, 1)
* MMG (256): MF的前身，各方面都非常均衡的制式武器。 (S_MMG_Lv_2, 0, 3, 4242, 1)
* MP7 (258): 射程和稳定性都相当出色的制式冲锋枪，对配件的支持也相当好。 (S_MP7_Lv_2, 0, 3, 4042, 1)
* UP-45 (260): 各方面表现都相当均衡的民用冲锋枪。 (S_UAK45_Lv_2, 0, 2, 1678, 1)
* UZI (262): 非常紧凑轻巧的制式冲锋枪，相较于其他冲锋枪有非常高的爆头伤害。 (S_UZI_Lv_2, 0, 3, 3473, 1)
* 突击握把 Lv4 (263): 增强稳定性。 (Grip_AS_Lv_4, 5, 999, 5000, 1)
* 快拆握把 Lv4 (264): 增强稳定性。 (Grip_SP_Lv_4, 5, 999, 5000, 1)
* 垂直握把 Lv4 (265): 增强稳定性。 (Grip_Verticle_Lv_4, 5, 999, 5000, 1)
* 大口径扩容弹匣 Lv4 (266): 增加弹药数量。 (Magazine_Rifle_Lv_4, 5, 999, 5000, 1)
* 小口径扩容弹匣 Lv4 (267): 增加弹药数量。 (Magazine_SMG_Lv_4, 5, 999, 5000, 1)
* 大口径制退器 Lv.4 (268): 可增加精确度。 (Muzzle_L_Type_4, 5, 999, 5000, 1)
* 霰弹枪集束器 Lv.4 (269): 可增加精确度。 (Muzzle_Shot_Type_4, 5, 999, 5000, 1)
* 狙击枪消音器 Lv.4 (270): 可增加精确度。 (Muzzle_Sniper_Type_4, 5, 999, 5000, 1)
* 小口径制退器 Lv.4 (271): 可增加精确度。 (Muzzle_S_Type_4, 5, 999, 5000, 1)
* 4倍镜 Lv4 (272): 可增加精确度。 (Scope_4X_Lv_4, 5, 999, 5000, 1)
* 8倍镜 Lv4 (273): 可增加精确度。 (Scope_8X_Lv_4, 5, 999, 5000, 1)
* 数字瞄具 Lv4 (274): 可增加精确度。 (Scope_Digit_Lv_4, 5, 999, 5000, 1)
* 全息瞄具 Lv4 (275): 可增加精确度。 (Scope_Holo_Lv_4, 5, 999, 5000, 1)
* 快速瞄具 Lv4 (276): 可增加精确度。 (Scope_Long_Lv_4, 5, 999, 5000, 1)
* 红点瞄具 Lv4 (277): 可增加精确度。 (Scope_RedDot_Lv_4, 5, 999, 5000, 1)
* 步枪枪托 Lv4 (278): 增强稳定性。 (Stock_Rifle_Lv_4, 5, 999, 5000, 1)
* 霰弹枪托 Lv4 (279): 增强稳定性。 (Stock_Shot_Lv_4, 5, 999, 5000, 1)
* 冲锋枪枪托 Lv4 (280): 增强稳定性。 (Stock_SMG_Lv_4, 5, 999, 5000, 1)
* 狙击枪枪托 Lv4 (281): 增强稳定性。 (Stock_Sniper_Lv_4, 5, 999, 5000, 1)
* 战术激光 Lv4 (282): 更加精准的射击。 (Tec_Lazer_Lv_4, 5, 999, 5000, 1)
* 战术手电 Lv4 (283): 照射对方头部，使其变得脆弱。 (Tec_Light_Lv_4, 5, 999, 5000, 1)
* 蓝图模板 (284): 用于研发武器：XXXX。 (1_Blueprint, 0, 9, 10500, 1)
* 蓝图：AK-103 (285): 用于在工作台研发武器：AK-103。 (BP_AK102, 4, 4, 50, 1)
* 蓝图：AK-47 (286): 用于在工作台研发武器：AK-47。 (BP_AK47, 3, 3, 50, 1)
* 蓝图：AK-74U (287): 用于在工作台研发武器：AK-74U。 (BP_AK74U, 0, 2, 50, 1)
* 蓝图：土制猎枪 (289): 用于在工作台研发武器：土制猎枪。 (BP_HAND, 0, 1, 50, 1)
* 蓝图：MF (290): 用于在工作台研发武器：MF。 (BP_MF, 3, 3, 50, 1)
* 蓝图：MMG (291): 用于在工作台研发武器：MMG。 (BP_MMG, 0, 4, 50, 1)
* 蓝图：MP-155 (292): 用于在工作台研发武器：MP-155。 (BP_MP155, 0, 2, 50, 1)
* 蓝图：MP7 (293): 用于在工作台研发武器：MP7。 (BP_MP7, 4, 4, 50, 1)
* 蓝图：RPK (294): 用于在工作台研发武器：RPK。 (BP_RPK, 4, 5, 50, 1)
* 蓝图：VPO-101 (295): 用于在工作台研发武器：VPO-101。 (BP_VPO, 5, 6, 50, 1)
* 蓝图：UAK-45 (296): 用于在工作台研发武器：UAK-45。 (BP_UAK45, 3, 3, 50, 1)
